350
33 188
48 14 113425
22 37 173808
20 29 170614
41 9 193408
36 25 154577
40 266
36 26 224960
28 21 155385
22 21 67539
4 21 83975
13 27 87382
4 38 139006
36 16 146240
29 22 77541
4 15 160143
34 30 66745
29 16 299874
4 5 182129
25 30 114413
21 27 137627
31 1 98209
25 8 169709
16 11 308530
14 25 79871
21 32 163178
34 9 28742
35 38 237282
38 40 130515
8 6 107811
39 23 137081
5 16 257950
1 34 104599
35 18 354384
4 20 172482
40 10 171799
25 21 175157
33 7 153274
20 15 96221
39 19 9065
33 12 119595
20 3 44096
8 9 150783
37 5 77894
18 38 217894
39 24 65931
3 36 111611
3 7 149383
16 4 334450
27 6 124808
24 14 84017
21 35 262273
37 31 140616
29 21 143201
1 4 185817
9 7 131213
32 37 162685
17 6 82166
32 38 150554
15 11 156448
7 19 130072
27 35 257434
31 3 96698
30 22 60439
13 18 184332
16 19 238540
7 25 150139
8 40 118671
18 29 243648
3 22 23128
15 34 81361
37 40 123626
40 4 140669
31 28 184193
18 32 219620
25 32 155560
33 36 170604
22 6 82354
26 6 172575
7 14 134674
23 38 213156
2 6 86048
31 17 93628
16 30 241518
36 13 105777
16 12 234966
31 23 190381
20 32 109219
4 32 247153
9 27 151392
9 39 86552
23 33 236163
34 40 109142
13 7 143549
2 31 69876
36 12 88726
11 37 148241
14 17 53541
15 39 80501
40 28 167203
8 10 184698
36 11 162290
36 18 245025
17 28 90565
23 36 220316
19 4 162719
7 39 121007
4 31 225084
25 33 135972
3 10 145735
31 21 141109
24 27 86375
24 8 54189
18 16 391265
9 2 84998
29 3 100669
1 17 122096
32 40 144831
16 27 187721
6 32 163167
4 29 134014
37 13 91728
36 9 169787
1 22 133476
26 27 206565
28 33 94536
28 11 191818
19 28 121828
20 7 136727
2 12 3937
9 6 168848
37 14 80762
26 20 157445
2 17 23752
14 38 76031
16 9 302684
39 21 72787
13 6 107036
29 20 97578
7 15 171665
9 33 122814
3 9 111820
8 18 229129
22 12 53887
35 36 275829
12 15 82884
38 5 73163
28 2 114317
27 22 116344
1 29 128647
19 30 18000
18 33 275742
17 10 142665
30 26 150660
18 12 167281
39 29 81858
37 29 71509
1 10 187340
18 27 226630
24 26 207656
11 14 107290
13 31 75842
3 24 94307
38 10 112926
38 22 127579
38 36 114914
6 18 230507
8 3 92607
36 32 176734
30 5 37410
34 31 93897
31 25 141565
39 28 112763
5 12 30858
10 27 185307
1 27 164738
12 6 89985
28 18 254582
13 19 13477
5 1 75264
10 22 168863
38 30 88118
29 34 24048
1 15 95551
1 40 151230
25 6 182006
30 29 90793
28 10 149614
3 19 34333
29 14 56251
28 25 157086
30 35 201529
12 29 84241
38 15 21137
6 33 119456
13 29 86270
5 2 26921
37 18 230976
27 39 64840
2 13 20988
8 15 83312
15 37 25868
26 37 210911
34 28 139186
17 36 61037
31 9 122639
1 9 133341
17 19 31263
31 6 155924
27 11 143895
1 6 87027
5 31 81775
15 18 239031
37 10 159931
7 24 142542
18 21 233812
28 27 133207
27 20 80560
21 17 94985
14 3 56611
14 36 114578
26 12 144108
1 36 183133
3 23 159196
13 14 35755
18 19 170855
30 21 81722
13 32 97911
11 39 79055
22 13 70938
19 20 24785
19 22 57461
17 16 207277
26 22 136477
40 9 137884
26 23 45847
23 16 366556
26 5 167092
29 27 146698
18 22 212529
4 26 227954
1 14 72396
4 11 232709
29 8 128953
30 12 6552
33 17 109567
24 12 71422
16 33 253292
2 20 17274
7 2 122561
24 22 117435
16 7 243888
14 30 40278
39 1 99898
32 3 118767
7 34 102471
40 33 154116
8 28 141137
17 26 163923
32 5 103844
32 24 159430
13 26 160386
24 1 124674
10 11 196414
23 15 199452
17 18 183988
6 38 103882
15 5 52026
13 11 98489
18 25 252508
20 40 70160
37 2 70740
39 2 1554
34 208
11 23 261762
10 11 252712
21 10 89549
3 4 240140
4 21 170996
24 23 262417
11 19 396529
33 11 408157
32 10 181317
22 20 215689
20 6 240012
29 23 159958
9 10 212724
26 24 296241
12 18 200364
8 9 195954
4 7 10287
26 18 188706
23 27 94741
20 2 126398
15 33 261099
28 24 276942
27 1 269601
16 15 365369
24 14 327035
18 17 294392
23 28 110098
20 23 43833
3 21 284139
20 15 154149
3 8 85134
5 8 183499
23 17 237217
28 18 167273
3 28 242057
12 31 265328
29 5 165939
18 8 199573
2 19 215213
31 24 316752
22 23 221205
15 32 205837
7 1 266448
17 21 153767
14 25 224112
14 9 272218
18 10 66225
4 5 338505
2 24 344982
23 7 97894
21 26 194346
33 8 224796
4 11 246251
11 6 384776
26 1 232811
16 6 356337
9 4 132561
6 22 263353
18 9 278949
17 25 179066
8 14 207016
23 5 284373
3 23 227532
22 14 271649
2 8 224963
31 11 421034
2 1 339892
27 22 126464
4 16 311246
27 6 151965
23 15 197982
22 13 128341
20 10 34783
33 3 139662
5 6 312655
28 13 204320
1 8 388202
13 14 227157
6 21 303722
5 11 511275
2 26 229291
7 17 273808
8 31 124245
30 27 77311
18 20 101008
18 7 155069
33 18 200743
14 20 108451
32 2 227493
24 19 136888
21 12 275255
8 13 217271
30 21 81169
13 6 340843
9 23 221774
6 9 263922
3 14 292150
24 30 244987
2 23 170231
12 2 226462
15 24 312902
28 15 212507
5 16 452223
18 6 299361
14 7 202435
34 11 284363
31 16 369219
8 30 124968
27 19 201222
17 16 112682
10 15 188932
33 28 192567
20 8 98565
27 21 158480
27 29 186006
20 29 116125
12 25 109497
16 26 334596
17 9 227172
13 25 175878
5 13 389087
31 6 353937
11 2 193017
1 33 163406
32 27 230665
32 17 46850
22 16 310966
31 33 264949
4 8 155006
18 21 155774
11 14 372387
22 3 164336
25 10 183586
28 20 85614
4 30 90751
30 29 142528
34 9 202630
26 20 107047
10 5 275323
25 29 225362
34 8 84937
34 30 40031
33 20 168062
8 28 156923
31 27 208278
31 29 106685
18 30 74605
9 7 130186
14 17 347842
6 2 333151
8 24 289893
32 12 280165
28 17 265438
18 23 57175
20 12 167683
29 1 370642
33 34 154434
34 6 229168
11 8 369300
17 11 389842
20 30 26403
25 15 295045
33 21 275634
15 14 262600
5 1 401433
21 8 206137
26 15 233940
30 26 114101
27 11 232811
9 30 204344
15 4 210590
22 30 203775
9 5 263270
28 6 161016
18 15 255157
8 22 195385
33 5 238027
23 10 9050
23 6 242186
23 12 211516
20 7 93984
9 31 285079
10 13 153489
24 17 414202
29 24 307453
1 18 271755
7 30 80464
33 27 204090
21 19 286504
23 4 108181
6 33 106698
34 2 140026
9 21 285513
27 4 13440
31 3 165477
26 22 108642
28 4 1917
21 1 391825
10 19 213715
13 11 185325
14 21 209224
22 18 278380
2 10 161181
31 4 206740
11 26 269601
31 20 150299
2 33 226453
2 17 274343
31 412
2 8 181787
4 22 202695
1 9 59028
16 15 234411
18 5 47762
11 28 62256
19 10 128118
18 19 116172
3 23 118262
9 14 44501
31 26 145075
18 28 94831
12 29 41675
31 12 140897
26 8 211117
15 5 137379
2 24 203227
4 6 156025
29 17 111573
30 8 161797
3 24 192135
26 10 216580
15 12 145168
23 5 148916
3 11 88033
23 19 217332
25 1 174305
29 24 108025
1 31 92937
5 12 119069
25 3 206410
5 27 80225
8 18 126279
26 16 69871
27 25 22971
9 22 155820
13 18 96914
22 8 180022
16 20 195616
2 17 66967
19 2 163137
6 14 64649
23 8 218687
1 26 218531
26 28 170444
4 10 58194
26 17 110914
15 20 237710
6 22 232396
2 28 139798
12 27 151383
17 7 121625
26 4 220995
3 28 150289
1 18 118865
13 8 37908
3 8 159918
7 20 202127
17 14 138251
9 21 84112
19 16 165448
27 21 131858
24 15 211513
6 20 213431
6 31 160582
29 8 144539
20 8 80079
5 9 62864
18 22 157194
3 12 125790
2 14 174674
22 30 209346
5 11 15181
12 10 184917
12 26 180829
19 9 32964
9 17 159678
22 5 109438
2 9 130173
18 4 157495
3 4 182591
8 19 57166
14 12 68336
10 28 158378
10 16 257800
29 3 162999
14 3 152805
21 17 181808
23 29 226205
30 6 191513
10 31 189761
18 7 132262
3 18 150970
6 23 287670
4 31 131567
25 19 171612
16 1 168141
16 25 155543
14 20 148782
7 22 184527
29 11 151692
13 12 76057
16 13 146190
15 8 194083
31 24 207242
29 27 193041
8 11 71885
20 9 131693
21 23 169866
5 7 84506
7 4 168311
11 13 33977
6 15 251619
15 2 260335
29 26 222487
19 21 89692
23 25 179921
1 15 201497
4 30 227560
12 19 56799
21 18 99366
26 20 213639
28 22 156513
13 21 70406
1 27 151334
10 15 274950
23 22 98158
5 25 103196
26 18 171422
10 11 152752
5 28 47075
14 13 30795
19 26 161030
14 26 149490
25 11 118377
13 23 198074
5 8 78523
21 12 146463
11 6 129421
21 5 51610
7 13 120592
29 18 112971
22 10 250980
3 13 122010
3 9 135716
8 4 98489
7 27 70581
11 4 94558
14 15 186970
10 2 231876
22 16 162814
11 26 139232
7 14 151387
16 30 113898
18 16 144788
26 2 43947
14 21 101201
3 30 212405
3 6 217454
11 12 110034
30 15 236090
30 1 169211
14 27 160178
17 6 170506
6 24 199330
15 7 208813
31 7 106334
21 15 158627
15 19 175433
21 8 108314
19 27 148641
1 21 115728
15 13 156175
14 11 64772
8 1 7414
16 17 92891
10 1 164097
20 25 202446
19 17 126714
24 11 176379
12 2 136882
10 30 181907
12 6 132985
21 25 154806
22 20 150791
28 23 123800
28 4 130880
29 21 188121
7 23 86369
11 15 122198
15 22 230335
7 19 139850
11 16 112213
22 27 189663
6 28 185829
31 19 90244
8 27 158748
6 10 204304
24 26 247174
12 17 69915
10 17 202914
31 17 168095
25 18 57099
13 5 49158
11 2 138137
31 9 84692
18 6 174849
16 2 25924
21 20 79083
16 28 144107
18 11 62937
11 31 37009
2 23 221535
17 20 102725
7 30 142632
11 20 115512
30 21 160801
21 16 148642
30 18 123936
17 4 206553
29 14 109994
25 14 167299
23 16 202306
29 2 178540
15 28 184454
4 16 202972
11 19 53235
24 23 250892
1 17 160549
15 9 169881
2 27 106648
25 4 160451
12 7 98178
27 28 33150
9 26 174120
31 13 70986
7 1 155615
30 25 137542
29 15 103510
8 7 158506
1 29 137125
8 9 51614
22 19 161372
22 1 180547
20 1 87493
15 23 286295
26 3 167659
12 24 66345
29 9 131421
17 30 21007
27 13 129383
24 8 169226
28 14 127028
5 6 138754
27 10 125240
31 25 125024
16 6 154712
22 31 87610
27 31 102062
14 18 110200
16 29 204464
17 27 173615
2 7 177229
31 21 73463
10 29 226575
17 11 162019
4 5 109739
13 1 45322
22 12 145906
9 25 166060
1 28 118184
21 4 130987
25 24 194757
5 16 97032
25 12 128412
8 31 100351
4 15 216756
31 28 68903
30 5 171692
20 5 130693
26 5 154413
11 1 79317
20 2 169692
8 17 153135
20 19 137245
17 25 158549
15 18 185135
17 13 145972
21 6 165850
16 8 175555
25 6 199164
4 2 177048
21 2 174566
27 4 164030
17 24 136263
24 20 238985
14 31 101781
18 24 137658
30 20 81718
29 20 214298
10 20 100189
8 6 133352
28 9 109939
31 18 69584
25 7 93552
4 20 158383
8 28 125598
11 30 183026
5 14 79953
9 7 134298
30 31 159478
2 13 143879
5 31 21828
11 23 164097
22 24 212239
9 23 211780
1 19 64580
17 3 195705
4 14 91376
12 18 71313
15 31 159207
29 7 139836
9 24 156108
26 23 245713
13 24 142402
28 21 98685
23 20 248949
3 21 51604
18 10 159356
17 15 215083
15 25 240575
14 10 139655
3 5 103214
5 2 122956
2 22 188738
10 3 230876
11 21 36429
1 14 76117
13 25 152354
29 31 182555
12 8 102881
11 22 108137
25 29 170070
27 15 217604
11 27 95406
24 27 217728
17 22 188339
27 23 156950
16 7 181538
13 6 95444
12 4 136638
1 4 105903
22 25 191609
23 10 282178
7 6 216036
19 30 147721
30 13 166987
26 27 137294
10 13 118775
12 1 95467
6 2 128788
23 12 184547
28 7 37431
29 30 132580
13 28 96233
20 12 172640
11 9 47683
7 26 202554
19 29 98457
14 8 68703
27 30 160513
7 11 86615
24 30 157267
21 22 71708
22 29 142895
19 24 123144
7 24 164523
23 4 254680
21 26 175661
23 31 127088
23 18 196672
22 3 20104
28 19 115491
23 30 196194
19 5 68416
6 1 140766
30 12 90922
13 4 60594
28 30 128706
30 2 87974
1 3 167332
30 26 131921
18 20 178449
4 29 178296
3 19 141283
21 24 212808
17 23 175187
18 17 102929
10 24 251262
26 15 261430
7 21 123044
2 1 189201
10 7 195809
19 14 11537
9 30 180685
1 24 161812
2 18 145798
9 4 46875
6 29 174643
5 1 71109
10 25 102257
25 26 114323
14 24
4 13 395932
10 7 31556
10 11 271824
10 6 206430
12 6 360788
7 8 437808
7 5 205197
12 2 305694
4 12 376813
5 1 248453
11 7 240268
2 14 157878
4 11 470087
7 9 314595
2 7 119780
8 11 438516
2 6 294654
11 1 283524
12 3 190996
3 13 210115
4 5 85268
5 8 643005
10 4 261375
13 2 324813
6 3
1 4 470266
5 4 967680
6 2 752921
12 40
6 2 515639
7 8 330373
9 1 177403
10 11 105008
11 4 165842
10 5 289819
7 5 206813
2 4 567946
9 11 211565
12 5 239284
11 6 263702
8 5 141231
5 2 322372
12 11 122797
9 5 328052
8 10 227948
8 6 334498
10 4 270850
11 3 188081
8 11 289287
3 2 301225
12 3 242554
6 5 380189
5 1 150649
8 12 166490
1 12 88635
9 2 613669
12 7 163883
7 1 75248
3 9 331322
12 2 347631
7 6 304788
9 8 432528
12 6 168008
6 10 332834
7 11 109410
6 4 361220
10 12 164826
3 6 383459
5 11 184811
37 85
36 29 541920
28 13 495760
29 23 323656
1 7 202642
23 37 218940
35 12 329978
24 21 282769
7 14 475024
21 1 160609
32 36 402398
22 16 448197
22 11 392980
33 12 330775
6 23 497160
30 10 240073
5 34 311962
24 7 324802
31 4 646610
31 12 165614
21 14 432991
31 16 196939
26 22 566698
13 12 405974
5 18 295156
32 21 254338
36 4 640546
7 27 177519
15 5 33235
6 30 395302
14 5 539400
27 13 309013
32 20 251824
15 12 401968
2 36 427789
3 11 267610
29 34 422471
24 10 127982
27 24 366523
18 27 77481
2 6 393900
32 14 505991
30 11 113301
15 20 540578
33 30 319602
10 26 669523
27 12 96961
30 5 66473
2 18 151028
35 1 123628
28 16 475577
6 27 320353
29 28 585722
12 36 380507
22 6 465359
6 16 453386
21 18 58005
10 25 676972
12 28 407091
1 19 379364
34 10 485562
35 10 409113
16 36 256615
16 34 187405
27 3 174598
33 8 349000
3 8 296402
4 16 453717
20 31 579725
32 7 296371
27 30 290579
4 2 560192
16 26 569921
24 4 619846
4 3 666110
30 17 193390
21 15 270386
13 33 338036
37 31 304708
27 37 42133
1 29 367763
22 18 222487
32 29 348867
36 14 586419
14 22 597473
19 37 312108
16 40
7 9 440985
2 10 269167
15 5 451813
4 14 272452
7 13 399860
7 14 531498
16 4 413509
15 3 128506
1 12 450434
11 5 539481
8 15 177991
15 16 447486
12 3 459751
12 13 118679
7 12 510672
13 8 328563
8 12 209884
12 2 519114
3 6 556214
5 2 421491
4 2 350972
3 9 127323
6 15 510315
2 6 217473
3 11 267591
14 1 502041
14 5 136730
11 12 381925
11 1 574262
8 7 300788
11 2 481271
9 15 255829
5 13 280851
7 6 633112
2 14 539940
14 10 270773
1 10 483827
10 8 40063
10 16 411830
9 6 428891
10 34
1 5 347492
6 9 210117
6 2 247413
5 4 53279
2 8 682792
9 3 89075
3 1 494627
2 3 344791
3 10 497949
4 9 163614
10 8 833700
4 7 620090
9 7 472109
7 1 789000
8 6 634943
3 7 383034
6 7 498612
5 6 99782
8 3 521242
7 5 582444
6 4 153061
3 6 299192
2 4 200910
4 1 294213
2 10 446170
7 8 138208
10 1 646031
9 10 408874
9 5 110335
6 1 447274
9 2 255716
9 8 610317
8 4 481882
7 10 697369
40 346
12 16 114838
7 40 129316
6 38 130847
30 11 80543
22 40 186868
39 31 228820
29 34 181671
32 19 94426
12 15 189289
19 8 205400
29 13 113712
38 40 115049
22 12 125248
30 24 201476
32 9 116625
14 40 146660
25 1 68249
31 28 260340
14 21 85467
24 15 276893
16 3 103728
7 12 77620
7 15 112841
25 36 187669
1 35 197144
31 30 120138
17 25 153667
35 8 212783
1 30 148810
27 5 248601
20 17 177377
7 36 103174
1 5 244640
13 9 39358
3 34 143993
4 25 200230
22 5 244644
34 4 261695
11 5 224716
17 16 81400
3 35 182865
12 33 228887
20 1 113377
15 17 146924
2 12 62922
34 14 146437
34 40 246878
29 21 91417
29 26 73125
21 19 121555
24 10 216187
14 28 68387
38 14 86557
18 11 134946
3 29 37678
10 15 149477
36 3 157907
1 19 82095
20 12 52736
11 38 89371
7 2 14698
38 30 69147
3 17 94470
32 1 40889
20 28 131952
1 39 181433
12 26 42300
10 36 119683
4 18 195422
23 35 202795
27 32 32115
29 15 154814
18 38 103090
24 36 133906
19 25 150344
20 37 173872
27 39 151884
9 34 137731
36 4 180178
20 6 125267
38 4 129866
11 36 152262
1 4 131981
3 4 117702
18 21 51522
6 10 139185
6 35 169411
19 33 233145
38 20 111262
17 39 214554
33 21 111590
30 29 96853
28 25 195834
17 21 40731
35 34 235900
13 18 14119
30 5 245316
15 2 127539
32 2 38343
40 20 120036
33 13 101480
19 40 170701
18 14 33945
16 28 32909
7 8 57933
30 7 129631
35 19 250681
18 35 184782
21 5 176622
22 27 175314
10 26 26981
14 19 207022
8 20 90105
10 39 175615
18 6 27757
37 34 263772
34 5 237592
33 37 263796
11 37 218448
17 11 120892
8 16 44606
34 30 171334
26 13 122065
5 14 108567
17 32 121080
23 20 272485
15 1 206771
5 17 204967
30 26 169973
35 5 236802
16 11 133413
29 38 27706
27 8 143089
25 22 177915
38 8 95685
25 32 109138
21 36 104168
8 26 100541
10 7 88112
12 21 127064
31 16 227431
28 18 34442
13 10 149046
5 26 182568
27 17 153195
30 23 282997
28 5 159542
29 31 208439
9 24 106499
17 14 113812
13 21 37403
14 13 48064
5 13 139219
11 29 61665
26 16 109479
37 13 162333
3 33 165329
36 15 216015
16 25 162925
7 1 93930
9 2 90465
7 21 109142
7 4 144133
9 20 72271
20 15 137391
19 30 202347
3 32 26610
8 24 124333
38 1 79663
37 19 262277
25 39 249682
35 37 268416
13 16 12586
35 27 124140
21 35 145646
9 8 17834
37 40 188436
26 18 107946
12 28 147747
38 2 54981
23 17 242648
13 7 71739
29 39 129476
14 30 154161
36 30 172862
24 16 79727
31 38 189285
1 36 172186
4 11 163825
7 23 263529
36 22 154778
14 26 74001
38 34 209377
31 21 186762
36 2 117872
20 5 172132
17 9 105106
24 12 194565
17 34 130985
27 26 94167
25 24 242652
6 5 152857
32 38 38774
23 38 267498
15 16 197166
15 35 42009
39 12 165123
28 10 169369
25 3 82528
29 12 35647
6 23 178152
1 18 119540
32 28 163247
12 27 78830
16 32 130338
2 31 210664
29 27 43183
9 27 148740
22 18 170022
14 29 114263
7 22 119554
22 14 136077
27 31 165256
25 10 121948
6 31 210527
16 40 182138
11 22 70466
39 15 200344
38 22 138184
1 33 179608
19 4 185518
1 14 153485
21 34 90254
18 34 112492
36 32 144032
20 29 83556
11 33 222290
33 18 115582
7 33 173202
23 33 265977
29 33 203007
27 33 224054
35 28 219224
14 4 161477
34 32 170603
18 9 25239
39 8 145436
35 4 65163
32 29 11068
31 8 253899
31 4 106279
10 20 37417
23 36 251134
26 11 134785
32 11 72733
33 20 213092
11 40 149008
14 7 84473
3 5 230361
35 33 257236
6 8 70830
30 22 151009
28 36 87088
28 1 150916
28 3 136637
8 2 72631
24 23 284103
21 30 81080
3 40 102885
11 21 153082
29 22 132131
28 21 82898
20 3 99098
5 37 245801
1 34 158272
23 27 196609
25 38 147912
3 10 61681
23 2 267067
39 11 136591
40 32 76275
28 8 77515
9 40 155366
6 24 105951
19 28 204453
20 32 72488
12 23 219749
3 9 130500
10 16 136460
26 19 156478
26 25 94967
18 31 225898
15 27 166149
36 16 54179
27 6 136229
3 8 137584
11 19 167159
25 33 224526
29 16 126298
32 4 91092
9 11 124855
9 22 144783
23 18 205909
19 10 129497
27 38 70889
39 16 171828
12 34 217318
40 31 121096
17 22 191358
31 14 259843
19 31 291797
34 33 76511
7 28 117234
6 22 197779
14 12 79360
14 24 115205
34 8 155565
17 37 231147
16 22 171555
23 40 152449
15 31 83125
1 12 87604
4 8 188017
21 40 156624
40 8 173200
9 7 75767
40 36 165361
28 17 114309
13 4 206519
16 14 35478
35 11 177354
1 23 269613
21 26 142401
30 9 145455
24 33 193776
10 34 205674
7 26 115093
7 6 85377
40 25 185413
11 20 142978
5 15 194793
15 21 187655
40 30 184196
3 21 53739
37 22 246384
31 1 238260
49 367
9 34 90746
32 19 172500
25 12 182461
7 45 198861
4 32 231698
31 17 160112
22 11 138787
46 4 222533
11 14 140776
22 25 218552
11 42 150208
25 3 197239
38 22 114259
24 47 108122
21 25 240205
42 29 157149
38 14 116319
18 25 247790
45 9 140230
46 29 103232
47 10 43737
18 26 294155
32 12 219611
39 14 202006
6 14 77761
41 29 86032
27 13 214477
41 25 209550
32 46 205482
9 31 236253
44 13 204639
37 40 173848
21 1 141078
21 44 190324
41 33 127717
8 46 86722
14 16 133659
5 38 183239
20 26 211194
39 18 155581
5 42 122837
16 7 262990
32 31 237187
46 42 126366
11 21 160440
33 35 230330
2 40 252004
47 48 47550
36 3 198338
33 29 124896
13 38 150227
24 32 214340
39 41 146717
20 35 214445
5 17 180751
11 20 93041
28 47 183542
43 37 163708
23 38 32933
31 18 297659
41 2 76761
29 47 38218
16 18 223928
12 30 103779
32 9 219288
23 3 125879
15 6 78876
35 29 190559
16 24 195486
15 18 183815
12 8 88679
33 34 150151
26 32 298300
36 49 240128
35 41 246410
31 29 134937
15 34 213155
17 16 131612
4 22 185708
12 43 190542
16 39 68347
22 17 120209
33 1 100505
18 38 143497
15 33 117007
17 35 229081
34 39 137354
5 2 155619
5 49 118104
42 37 121155
9 22 133323
26 6 184702
27 34 187585
26 24 168768
15 39 135980
7 3 233668
49 48 180138
11 35 195862
6 11 63015
38 32 121475
47 43 114514
4 36 167970
13 37 125939
47 8 165531
34 13 245041
45 3 70449
37 14 180785
15 36 145710
47 36 162835
35 6 209892
18 4 253720
17 45 53483
17 43 144984
49 35 266879
36 48 170211
2 45 5999
45 8 166227
30 2 195921
17 33 164617
14 23 103525
3 27 133583
24 43 188371
26 45 232462
13 26 239804
46 25 226750
14 33 214803
23 47 90376
2 38 52140
19 4 193425
12 24 189935
36 2 157532
10 15 50256
3 39 83352
44 40 292726
37 15 66334
49 16 117693
48 45 48246
27 19 153725
15 47 17125
31 39 249837
46 6 161015
26 28 50726
10 13 160165
40 23 239059
4 13 166039
30 18 286764
36 26 315778
19 37 115491
30 1 148947
24 4 237067
45 10 44433
33 20 15885
2 3 64450
7 24 235688
21 15 176230
17 24 138607
1 17 93094
34 44 248264
2 6 90698
15 22 73941
6 17 126486
7 41 209630
4 14 221734
33 37 136376
13 8 206095
46 18 89470
34 6 232410
29 27 83475
33 30 143982
20 14 198918
20 12 106202
11 46 146985
16 26 183409
11 15 64846
9 16 21739
14 3 205452
47 40 257307
43 19 146531
8 27 70842
41 36 210649
46 20 69199
40 6 276872
28 27 213787
48 20 127704
6 19 128033
3 42 137431
3 28 219045
12 9 62682
46 15 124325
13 23 183160
11 4 134751
27 49 105753
45 1 63305
24 41 26058
6 21 174470
38 29 19236
19 41 114096
8 15 148406
7 18 211617
26 14 106941
35 46 283644
44 39 160802
31 38 154162
39 19 185137
31 33 230851
2 28 178239
43 46 188585
1 29 24391
25 7 245015
4 3 203169
27 10 154824
1 19 94641
22 5 155473
47 2 5330
37 32 147491
24 20 152840
11 29 43753
27 25 168543
14 21 204364
47 14 169949
26 9 188964
18 36 285151
38 1 5166
44 32 175887
14 12 174602
41 11 129785
8 36 205217
4 35 61111
9 27 96855
19 5 216598
38 11 24548
44 43 192125
30 40 128211
35 25 266228
43 22 171315
42 14 141751
19 34 227005
39 35 217533
15 45 17821
27 38 64250
37 23 97399
40 10 290438
16 5 130929
40 21 136080
32 41 188282
20 17 180502
41 46 109699
29 40 219089
31 12 242796
34 12 126134
1 49 168843
12 28 231624
37 36 147702
11 40 262842
30 39 131183
39 43 122474
46 49 121633
47 21 193355
13 17 157519
49 34 186700
38 20 117569
1 27 69416
35 48 199891
10 12 188716
46 37 148473
33 8 33408
34 28 259688
25 6 142865
48 11 34663
2 43 109196
39 6 159144
30 8 110572
26 1 191247
29 3 73721
35 27 235584
24 34 280677
26 17 264753
13 18 244139
43 45 115209
10 33 167263
27 18 158691
36 27 134375
29 9 143502
12 7 277308
24 21 266191
18 20 158669
35 37 180363
46 26 252409
3 37 118962
49 15 185345
48 34 222409
29 48 9332
21 12 111648
33 6 144229
14 29 135544
49 37 172925
42 34 77099
39 11 96129
2 25 156433
33 40 268389
17 41 112549
47 45 696
23 19 66077
35 15 181471
38 4 110223
3 47 69753
44 48 82969
4 39 156422
18 23 176430
41 10 115195
30 21 7869
8 4 135811
41 40 286949
22 3 126569
31 28 280261
37 8 102968
49 42 109601
5 37 186161
27 4 174473
20 31 246736
39 26 214282
31 8 262250
38 24 131343
3 18 236443
21 9 92444
4 33 169219
33 47 134132
44 26 240493
23 46 155390
19 8 197563
16 1 181649
46 30 197294
32 30 265256
31 34 188359
2 44 106552
21 42 78797
41 23 138190
10 22 100553
10 46 174581
18 5 224339
49 25 274296
49 39 55522
7 2 192862
19 49 234483
28 37 190565
4 20 153334
3 5 145934
7 26 286866
11 49 145475
21 20 135964
2 19 60979
19 36 96553
6 27 102737
27 47 121693
13 39 191660
7 47 198165
8 18 176192
41 6 143815
20 28 160468
31 19 163001
48 7 169279
36 23 162630
1 9 159910
5 6 221726
17 19 96767
12 39 109290
28 13 276326
41 820
20 2 162690
35 6 162331
40 20 124977
39 26 146300
39 20 130165
30 1 1848
31 29 85003
11 26 156678
41 35 138869
5 34 81558
33 11 91419
15 2 40647
1 21 212744
35 2 139700
2 29 78914
23 28 159108
30 20 107443
16 39 130969
1 4 111595
3 8 117399
31 5 42111
2 11 117828
3 13 166640
40 9 48867
15 28 131099
24 33 105807
41 38 107928
9 33 59334
2 28 171746
28 38 136750
23 7 79899
41 9 115575
41 15 99850
25 23 122333
13 2 154968
35 39 137725
15 10 93344
11 41 39120
12 7 99750
1 24 79654
11 20 72329
26 38 207178
4 35 32068
14 40 42991
39 10 101466
1 18 71455
38 23 118618
24 31 106661
39 23 36131
20 25 210652
36 28 199850
38 17 126112
25 8 115155
9 16 124200
39 4 105657
33 14 53458
37 19 44705
23 33 10896
1 27 22183
32 13 191830
40 2 69085
34 10 147595
3 29 171012
21 36 228351
26 23 112237
10 23 65335
10 19 80624
31 8 31390
26 18 163455
13 30 99721
34 31 118965
18 22 87561
23 6 46025
38 31 137132
13 11 163139
19 33 121972
31 13 74562
13 16 211664
11 8 69649
20 19 99051
38 30 111973
35 24 155906
23 15 28009
13 5 116673
23 19 111076
19 27 113144
34 35 188874
26 14 138016
21 13 208073
6 3 143784
37 1 51114
6 28 149115
14 36 83304
30 14 29153
11 12 100374
14 22 43411
18 40 87141
39 31 47881
9 14 30278
34 6 97222
31 20 132602
2 41 140497
33 13 127722
38 33 128656
25 35 78547
38 34 176579
32 34 156715
8 10 88671
28 11 209117
21 11 200584
22 26 171740
6 14 32569
22 25 123182
15 37 63866
15 14 14553
1 16 110095
37 18 48620
15 1 12752
39 32 111135
37 29 108680
33 21 207525
37 26 142526
19 13 183129
28 17 159838
29 10 133363
27 12 31787
31 30 25159
17 21 220163
38 10 129851
15 29 45244
9 1 33181
26 5 140530
10 6 111360
3 19 199641
37 2 104513
3 41 208208
13 1 101569
28 3 256867
2 17 74090
4 22 157909
23 9 48438
12 30 36956
28 39 164725
12 32 99865
41 36 168601
26 33 101341
39 29 78870
41 30 102538
25 41 177443
15 39 33626
40 7 80328
19 4 115368
19 26 187231
4 2 107632
14 28 116546
24 20 118969
25 14 104173
22 5 31210
34 4 156806
6 13 132337
36 10 148762
32 41 120698
